program_name,iteration_count,run_number,runtime_ns
nested_long,1,0,789
nested_long,1,1,644
nested_long,1,2,607
nested_long,101,0,3959670
nested_long,101,1,4826899
nested_long,101,2,3877483
nested_long,201,0,28293412
nested_long,201,1,20335266
nested_long,201,2,19916369
nested_long,301,0,37933822
nested_long,301,1,37745333
nested_long,301,2,33369813
nested_long,401,0,68624198
nested_long,401,1,68972737
nested_long,401,2,70027895
nested_long,501,0,122340086
nested_long,501,1,122210869
nested_long,501,2,121343467
nested_long,601,0,201296163
nested_long,601,1,198112516
nested_long,601,2,206508903
nested_long,701,0,309036307
nested_long,701,1,307554930
nested_long,701,2,301845286
nested_long,801,0,449237474
nested_long,801,1,462300695
nested_long,801,2,466013052
single_linear,1,0,384
single_linear,1,1,440
single_linear,1,2,520
single_linear,101,0,1229
single_linear,101,1,1216
single_linear,101,2,1015
single_linear,201,0,1485
single_linear,201,1,1403
single_linear,201,2,1504
single_linear,301,0,1647
single_linear,301,1,1962
single_linear,301,2,1962
single_linear,401,0,2463
single_linear,401,1,2387
single_linear,401,2,2678
single_linear,501,0,2872
single_linear,501,1,1997
single_linear,501,2,2920
single_linear,601,0,3295
single_linear,601,1,3344
single_linear,601,2,3282
single_linear,701,0,1603
single_linear,701,1,3640
single_linear,701,2,3696
single_linear,801,0,4014
single_linear,801,1,4552
single_linear,801,2,4110
terminated,1,0,857484
terminated,1,1,809313
terminated,1,2,728626
terminated,101,0,584903
terminated,101,1,606273
terminated,101,2,1069576
terminated,201,0,868999
terminated,201,1,725069
terminated,201,2,727633
terminated,301,0,819508
terminated,301,1,974115
terminated,301,2,242631
terminated,401,0,557854
terminated,401,1,575810
terminated,401,2,684218
terminated,501,0,862407
terminated,501,1,673154
terminated,501,2,647057
terminated,601,0,694915
terminated,601,1,714825
terminated,601,2,792412
terminated,701,0,977986
terminated,701,1,718989
terminated,701,2,764555
terminated,801,0,761466
terminated,801,1,795919
terminated,801,2,609034
