kernel_type,num_objects,run,allocated_objects,failed_allocations,mem_avail_before_kb,mem_avail_after_load_kb,mem_avail_after_alloc_kb,mem_free_before_kb,mem_free_after_load_kb,mem_free_after_alloc_kb,xlated_prog_len,jited_prog_len
kflex,1,0,1,0,23860556,23860120,23860120,22647788,22647352,22647352,1104,575
kflex,2,0,2,0,23859580,23858708,23858708,22646812,22645940,22645940,1104,575
kflex,3,0,3,0,23858360,23858360,23858360,22645592,22645592,22645592,1104,575
kflex,4,0,4,0,23858360,23858360,23858360,22645592,22645592,22645592,1104,575
kflex,5,0,5,0,23858360,23858360,23858360,22645592,22645592,22645592,1104,575
kflex,6,0,6,0,23858120,23858120,23858120,22645352,22645352,22645352,1104,575
kflex,7,0,7,0,23858120,23858120,23858120,22645352,22645352,22645352,1104,575
kflex,8,0,8,0,23858120,23858120,23858120,22645352,22645352,22645352,1104,575
kflex,9,0,9,0,23858120,23858120,23858120,22645352,22645352,22645352,1104,575
kflex,10,0,10,0,23858120,23858120,23858120,22645352,22645352,22645352,1104,575
kflex,11,0,11,0,23858120,23858120,23858120,22645352,22645352,22645352,1104,575
kflex,12,0,12,0,23858120,23858120,23858120,22645352,22645352,22645352,1104,575
kflex,13,0,13,0,23858120,23858120,23858120,22645352,22645352,22645352,1104,575
kflex,14,0,14,0,23858120,23858120,23858120,22645352,22645352,22645352,1104,575
kflex,15,0,15,0,23858120,23858120,23858120,22645352,22645352,22645352,1104,575
kflex,16,0,16,0,23858120,23858120,23858120,22645352,22645352,22645352,1104,575
kflex,17,0,17,0,23858120,23858120,23858120,22645352,22645352,22645352,1104,575
