kernel_type,num_local_objs,run,mem_avail_before_kb,mem_avail_after_kb,mem_free_before_kb,mem_free_after_kb,xlated_prog_len,jited_prog_len
saterm,0,1,23127140,23127140,17682080,17682080,24,25
saterm,1,1,23112704,23112008,17667644,17666952,176,81
saterm,2,1,23100308,23100308,17655248,17655248,400,202
saterm,3,1,23099872,23099872,17654812,17654812,328,169
saterm,4,1,23087664,23087664,17642604,17642604,336,173
saterm,5,1,23072404,23072404,17627344,17627344,344,177
saterm,6,1,23072292,23072292,17627232,17627232,352,181
saterm,7,1,23071856,23071856,17626796,17626796,360,209
saterm,8,1,23071420,23070972,17626360,17625912,368,213
saterm,9,1,23060072,23059176,17615012,17614116,376,217
saterm,10,1,23051088,23051088,17606012,17606012,384,221
saterm,11,1,23052172,23051948,17607096,17606856,392,225
saterm,12,1,23048004,23048004,17602912,17602912,400,229
saterm,13,1,23047568,23047124,17602476,17602032,408,233
saterm,14,1,23047124,23047124,17602032,17602032,416,237
saterm,15,1,23054100,23054860,17609260,17609768,424,241
saterm,16,1,23035840,23035840,17590732,17590732,432,248
saterm,17,1,23035840,23035840,17590732,17590732,440,261
saterm,18,1,23020764,23020764,17575656,17575656,448,268
saterm,19,1,23020764,23020764,17575656,17575656,456,275
saterm,20,1,23020344,23020344,17575220,17575220,464,282
saterm,21,1,23009880,23009880,17564756,17564756,472,289
saterm,22,1,23010316,23017864,17565192,17572740,480,296
saterm,23,1,23010888,23010888,17565764,17565764,488,303
saterm,24,1,23010452,23010452,17565328,17565328,496,310
saterm,25,1,22998752,22998752,17553628,17553628,504,317
saterm,26,1,22997880,22997880,17552756,17552756,512,324
saterm,27,1,22990904,22990904,17545780,17545780,520,331
saterm,28,1,22990904,22990904,17545780,17545780,528,338
saterm,29,1,22978260,22978260,17533136,17533136,536,345
saterm,30,1,22998032,23005444,17552824,17560236,544,352
saterm,31,1,23004740,23004508,17559532,17559300,552,359
saterm,32,1,22996544,22996544,17551336,17551336,560,366
saterm,33,1,22987316,22987316,17542108,17542108,568,373
saterm,34,1,22986912,22986912,17541704,17541704,576,380
saterm,35,1,22986476,22986476,17541268,17541268,584,387
saterm,36,1,22986040,22986040,17540832,17540832,592,394
saterm,37,1,22986152,22986152,17540944,17540944,600,401
saterm,38,1,22985492,22985492,17540284,17540284,608,408
saterm,39,1,22985056,22985308,17539848,17540100,616,415
saterm,40,1,22984688,22984688,17539480,17539480,624,422
saterm,41,1,22984688,22984688,17539480,17539480,632,429
saterm,42,1,22984112,22984112,17538904,17538904,640,436
saterm,43,1,22983500,22985496,17538292,17540288,648,443
saterm,44,1,22985180,22985180,17539972,17539972,656,450
saterm,45,1,22985244,22985244,17540036,17540036,664,457
saterm,46,1,22992300,22992300,17547092,17547092,672,464
saterm,47,1,22988152,22987708,17542944,17542500,680,471
saterm,48,1,22987312,22987312,17542104,17542104,688,478
saterm,49,1,22979028,22979028,17533820,17533820,696,485
saterm,50,1,22978376,22978376,17533168,17533168,704,492
saterm,51,1,22978376,22978636,17533168,17533428,712,499
saterm,52,1,22977344,22977344,17532136,17532136,720,506
saterm,53,1,22977676,22977228,17532452,17532004,728,513
saterm,54,1,22976396,22976396,17531172,17531172,736,520
saterm,55,1,22976172,22975284,17530948,17530060,744,527
saterm,56,1,22974412,22974412,17529188,17529188,752,534
saterm,57,1,22959556,22959512,17514332,17514288,760,541
saterm,58,1,22959076,22959076,17513852,17513852,768,548
saterm,59,1,22959076,22958852,17513852,17513628,776,555
saterm,60,1,22957980,22957292,17512756,17512068,784,562
saterm,61,1,22957292,22956864,17512068,17511624,792,569
saterm,62,1,22956428,22956172,17511188,17510932,800,576
