size_bytes,avg_total_bpf_ns,avg_probe_ns,avg_fill_loop_ns,probe_pct_of_component,fill_pct_of_component,probe_overhead_pct,invocations
0,2451899.62,0.00,0.00,0.0,0.0,0.0,1000
2000000,2607899.28,165402.21,2442139.49,6.3,93.7,6.3,1000
4000000,2795702.78,341709.15,2453591.74,12.2,87.8,12.2,1000
6000000,2946346.16,504984.96,2440926.24,17.1,82.9,17.1,1000
8000000,3128442.73,685265.95,2442738.15,21.9,78.1,21.9,1000
10000000,3342693.43,898911.12,2443317.51,26.9,73.1,26.9,1000
12000000,3550883.39,1107352.84,2443050.80,31.2,68.8,31.2,1000
14000000,3808742.92,1353443.34,2454795.80,35.5,64.5,35.5,1000
16000000,4062788.29,1616752.12,2445500.39,39.8,60.2,39.8,1000
18000000,4408130.28,1956145.14,2451440.25,44.4,55.6,44.4,1000
20000000,4682488.69,2225394.60,2456458.29,47.5,52.5,47.5,1000
22000000,4885926.53,2428006.61,2457259.55,49.7,50.3,49.7,1000
24000000,5065333.42,2607911.30,2456692.51,51.5,48.5,51.5,1000
26000000,5336744.74,2886491.90,2449512.12,54.1,45.9,54.1,1000
28000000,5606083.28,3163094.51,2442248.12,56.4,43.6,56.4,1000
30000000,5879830.88,3429934.70,2449229.84,58.3,41.7,58.3,1000
32000000,6143599.48,3692486.53,2450367.97,60.1,39.9,60.1,1000
34000000,6392828.57,3944060.12,2448067.94,61.7,38.3,61.7,1000
36000000,6652569.90,4196296.08,2455517.01,63.1,36.9,63.1,1000
38000000,6911914.41,4452343.81,2458867.24,64.4,35.6,64.4,1000
40000000,7171757.27,4713528.51,2457548.40,65.7,34.3,65.7,1000
42000000,7407755.37,4965827.50,2441289.76,67.0,33.0,67.0,1000
44000000,7746350.76,5274812.38,2470781.73,68.1,31.9,68.1,1000
46000000,7963457.55,5506480.71,2456291.94,69.2,30.8,69.1,1000
48000000,8212509.00,5755912.33,2455913.56,70.1,29.9,70.1,1000
50000000,8467027.97,6007508.77,2458817.43,71.0,29.0,71.0,1000
52000000,8704605.41,6251889.47,2451964.74,71.8,28.2,71.8,1000
54000000,8971671.65,6510934.80,2459950.22,72.6,27.4,72.6,1000
56000000,9228931.84,6768011.89,2460184.73,73.3,26.7,73.3,1000
58000000,9479204.41,7025148.17,2453336.71,74.1,25.9,74.1,1000
60000000,9736797.34,7274215.43,2461886.12,74.7,25.3,74.7,1000
62000000,9992712.15,7538452.18,2453602.13,75.4,24.6,75.4,1000
64000000,10233419.59,7788217.65,2444516.96,76.1,23.9,76.1,1000
66000000,10530452.03,8069216.95,2460507.55,76.6,23.4,76.6,1000
68000000,10777044.74,8326547.03,2449770.14,77.3,22.7,77.3,1000
70000000,11016647.73,8570450.21,2445412.65,77.8,22.2,77.8,1000
72000000,11385890.76,8933771.93,2451339.57,78.5,21.5,78.5,1000
74000000,11606767.56,9158036.39,2447928.02,78.9,21.1,78.9,1000
76000000,11852653.64,9397608.13,2454284.17,79.3,20.7,79.3,1000
78000000,12044965.34,9595886.32,2448343.32,79.7,20.3,79.7,1000
80000000,12297636.69,9852637.95,2444181.66,80.1,19.9,80.1,1000
82000000,12553429.40,10107428.63,2445177.09,80.5,19.5,80.5,1000
84000000,12816308.13,10367191.46,2448326.43,80.9,19.1,80.9,1000
86000000,13094537.65,10639477.67,2454261.39,81.3,18.7,81.3,1000
88000000,13341170.24,10879913.62,2460485.58,81.6,18.4,81.6,1000
90000000,13571218.83,11124691.28,2445748.84,82.0,18.0,82.0,1000
92000000,13840877.67,11394913.22,2445207.05,82.3,17.7,82.3,1000
94000000,14105507.37,11650995.09,2453743.28,82.6,17.4,82.6,1000
96000000,14361327.52,11908275.37,2452303.46,82.9,17.1,82.9,1000
98000000,14623861.12,12169016.22,2454040.06,83.2,16.8,83.2,1000
100000000,14870353.68,12414821.19,2454782.15,83.5,16.5,83.5,1000
